"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Produit1";"Produit2";"Produit3";"Annee_adhesion";"Tps_adh_entreprise";"Max_code_ape";"Max_departement";"Max_regroup1";"Max_regroup4";"BASE_percent";"OPTION_percent";"Nb_pers";"Nb_fam";"Anciennete_moy";"Tps_adh_moy_pers";"Asspri";"Asspri_percent";"Conjoint";"Conjoint_percent";"Enfant";"Enfant_percent";"Femme";"Femme_percent";"Homme";"Homme_percent";"Respo";"Respo_percent";"Non_respo";"Non_respo_percent";"VIP";"Prod1_Ind2018";"Prod1_Ind2019";"Prod1_Ind2020";"Prod1_Ind2021";"Prod1_Ind2022";"Prod1_Ind2023";"Prod2_Ind2018";"Prod2_Ind2019";"Prod2_Ind2020";"Prod2_Ind2021";"Prod2_Ind2022";"Prod2_Ind2023";"Prod3_Ind2018";"Prod3_Ind2019";"Prod3_Ind2020";"Prod3_Ind2021";"Prod3_Ind2022";"Prod3_Ind2023";"Renégo2020";"Renégo2021";"Renégo2022"
"1";283;0;14;1;NA;NA;2022;318;"2932Z";NA;"ERCAC";"1";100;0;258;109;2022;318;127;42.7609427609428;60;20.2020202020202;110;37.037037037037;126;42.4242424242424;171;57.5757575757576;297;100;0;0;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"10";26;0;0;10;NA;NA;2008;5098;"8730A";"66";"ER66";"3";100;0;7;3;2009;8525;12;46.1538461538462;5;19.2307692307692;9;34.6153846153846;14;53.8461538461538;12;46.1538461538462;0;0;0;0;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"100";36;0;0;332;NA;NA;1994;10211;"4711D";"66";"ER66";"17";100;0;22;5;2009;3181;16;44.4444444444444;4;11.1111111111111;16;44.4444444444444;20;55.5555555555556;16;44.4444444444444;36;100;0;0;FALSE;0.025;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1000";0;26;0;2800;NA;NA;2019;1414;"8899B";NA;"ER11";"5";100;0;22;7;2016;2510;16;61.5384615384615;10;38.4615384615385;0;0;16;61.5384615384615;10;38.4615384615385;26;100;0;0;FALSE;NA;NA;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE
"1001";0;31;0;2805;NA;NA;2016;2510;NA;NA;"ER11";"2";100;0;12;4;2016;2510;19;61.2903225806452;7;22.5806451612903;5;16.1290322580645;18;58.0645161290323;13;41.9354838709677;31;100;0;0;FALSE;0.04;0.02;0;0.01;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1002";16;0;6;2828;53;NA;2021;563;NA;NA;"ER11";"5";100;0;2;1;2018;184;12;54.5454545454545;0;0;10;45.4545454545455;16;72.7272727272727;6;27.2727272727273;22;100;0;0;FALSE;0.03;0;0.01;0;0.03;0.15;0.03;0;0.01;0;0.03;0.15;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1003";239;0;27;2883;NA;NA;2022;318;"742C";"19";"ERCAC";"125";100;0;151;53;2019;1414;162;60.9022556390977;18;6.76691729323308;86;32.3308270676692;109;40.9774436090226;157;59.0225563909774;266;100;0;0;FALSE;NA;NA;0;0.04;0.015;0.015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1004";1681;169;210;2888;2887;NA;2015;2875;"4511Z";"12";"ERCAC";"126";100;0;1114;360;2017;2875;1262;61.2621359223301;303;14.7087378640777;495;24.0291262135922;764;37.0873786407767;1296;62.9126213592233;2060;100;0;0;TRUE;0.04;0.02;0.01;0;0.03;0.14;0.04;0.02;0.01;0;0.03;0.14;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE
"1005";0;8;0;2897;NA;NA;2017;1871;"7010Z";NA;"ER11";"127";100;0;6;2;2017;2144;5;62.5;3;37.5;0;0;3;37.5;5;62.5;8;100;0;0;FALSE;NA;0;0.03;0;0.2;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1006";0;16;0;2906;NA;NA;2015;2816;"6420Z";NA;"ER11";"128";100;0;6;2;2015;2072;8;50;4;25;4;25;8;50;8;50;16;100;0;0;FALSE;0.05;0.05;0.05;0;0.1;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1007";0;22;0;2922;2923;NA;2016;2510;NA;NA;"ERCAC";"5";100;0;22;7;2016;2510;14;63.6363636363636;8;36.3636363636364;0;0;12;54.5454545454545;10;45.4545454545455;22;100;0;0;FALSE;0.04;0.1;0;0;0.02;0.08;0.04;0.1;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1008";0;2;0;2924;NA;NA;2016;2510;NA;NA;"ERCAC";"5";100;0;2;1;2016;2510;2;100;0;0;0;0;2;100;0;0;2;100;0;0;FALSE;0.01;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"101";0;4;0;333;NA;NA;2008;5432;NA;NA;"ER66";"3";100;0;4;1;2007;5372;2;50;2;50;0;0;2;50;2;50;4;100;0;0;FALSE;0.15;0;0;0;0.04;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"102";4;0;0;334;NA;NA;2003;7015;"3011Z";"66";"ER66";"17";100;0;0;0;2003;5966;2;50;2;50;0;0;2;50;2;50;4;100;0;0;FALSE;0.04;0.2;0.2;0;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"103";4;0;0;335;NA;NA;2003;7258;"1071B";"66";"ER66";"3";100;0;0;0;2006;3073;2;50;2;50;0;0;2;50;2;50;4;100;0;0;FALSE;0.01;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"104";6;0;2;336;60;NA;2015;2541;"7010Z";"66";"ER66";"3";100;0;0;0;2019;92;8;100;0;0;0;0;0;0;8;100;8;100;0;0;FALSE;0.03;0;0.2;0.1;0.02;0.1;0.03;0;0.2;0.1;0.02;0.1;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"105";0;2;0;337;NA;NA;2004;6619;NA;"66";"ER66";"17";100;0;2;1;2004;6588;2;100;0;0;0;0;2;100;0;0;2;100;0;0;FALSE;0.01;0;0;0;0.02;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
