"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Produit1";"Produit2";"Produit3";"Tps_adh_E_au_L";"Code_ape";"Departement";"Regroup1";"Regroup4";"BASE";"OPTION_percent";"Nb_pers_2018";"Nb_fam_2018";"Nb_pers_2019";"Nb_fam_2019";"Nb_pers_2020";"Nb_fam_2020";"Nb_pers_2021";"Nb_fam_2021";"Nb_pers_2022";"Nb_fam_2022";"Tps_adh_moy_pers_ds_L";"Asspri";"Asspri_percent";"Conjoint";"Conjoint_percent";"Enfant";"Enfant_percent";"Femme";"Femme_percent";"Homme";"Homme_percent";"Respo_percent";"Non_respo_percent";"VIP";"Prod1_Ind2018";"Prod1_Ind2019";"Prod1_Ind2020";"Prod1_Ind2021";"Prod1_Ind2022";"Prod1_Ind2023";"Prod2_Ind2018";"Prod2_Ind2019";"Prod2_Ind2020";"Prod2_Ind2021";"Prod2_Ind2022";"Prod2_Ind2023";"Prod3_Ind2018";"Prod3_Ind2019";"Prod3_Ind2020";"Prod3_Ind2021";"Prod3_Ind2022";"Prod3_Ind2023";"Renégo2020";"Renégo2021";"Renégo2022"
"1";283;0;14;"1";NA;NA;0.9;"2932Z";NA;"ERCAC";"1";297;0;0;0;0;0;0;0;0;0;290;124;0.9;127;42.7609427609428;60;20.2020202020202;110;37.037037037037;126;42.4242424242424;171;57.5757575757576;100;0;TRUE;NA;NA;NA;NA;NA;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"10";26;0;0;"10";NA;NA;14;"8730A";"66";"ER66";"3";26;0;26;12;19;9;17;8;8;4;7;3;23.4;12;46.1538461538462;5;19.2307692307692;9;34.6153846153846;14;53.8461538461538;12;46.1538461538462;0;100;FALSE;0.041;0;0.035;0.03;0.035;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"100";36;0;0;"332";NA;NA;28;"4711D";"66";"ER66";"17";36;0;18;8;13;6;13;6;13;6;11;5;8.8;16;44.4444444444444;4;11.1111111111111;16;44.4444444444444;20;55.5555555555556;16;44.4444444444444;100;0;FALSE;0.025;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1000";0;26;0;"2800";NA;NA;3.9;"8899B";NA;"ER11";"5";26;0;13;8;13;8;13;8;13;8;11;7;6.9;16;61.5384615384615;10;38.4615384615385;0;0;16;61.5384615384615;10;38.4615384615385;100;0;FALSE;NA;NA;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE
"1001";0;31;0;"2805";NA;NA;6.9;NA;NA;"ER11";"2";31;0;12;7;11;7;10;7;7;5;7;5;6.9;19;61.2903225806452;7;22.5806451612903;5;16.1290322580645;18;58.0645161290323;13;41.9354838709677;100;0;FALSE;0.04;0.02;0;0.01;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1002";16;0;6;"2828";"53";NA;1.6;NA;NA;"ER11";"5";22;0;7;3;4;2;1;1;3;2;4;3;0.5;12;54.5454545454545;0;0;10;45.4545454545455;16;72.7272727272727;6;27.2727272727273;100;0;FALSE;0.03;0;0.01;0;0.03;0.15;0.03;0;0.01;0;0.03;0.15;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1003";239;0;27;"2883";NA;NA;0.9;"742C";"19";"ERCAC";"125";266;0;0;0;98;60;93;58;91;59;90;57;3.9;162;60.9022556390977;18;6.76691729323308;86;32.3308270676692;109;40.9774436090226;157;59.0225563909774;100;0;FALSE;NA;NA;0;0.04;0.015;0.015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1004";1681;169;210;"2888";"2887";NA;7.9;"4511Z";"12";"ERCAC";"126";2060;0;594;358;619;374;660;413;651;406;627;393;7.9;1262;61.2621359223301;303;14.7087378640777;495;24.0291262135922;764;37.0873786407767;1296;62.9126213592233;100;0;TRUE;0.04;0.02;0.01;0;0.03;0.14;0.04;0.02;0.01;0;0.03;0.14;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE
"1005";0;8;0;"2897";NA;NA;5.2;"7010Z";NA;"ER11";"127";8;0;3;2;3;2;3;2;3;2;3;2;5.9;5;62.5;3;37.5;0;0;3;37.5;5;62.5;100;0;FALSE;NA;0;0.03;0;0.2;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1006";0;16;0;"2906";NA;NA;7.8;"6420Z";NA;"ER11";"128";16;0;8;4;8;4;8;4;8;4;3;2;5.7;8;50;4;25;4;25;8;50;8;50;100;0;FALSE;0.05;0.05;0.05;0;0.1;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1007";0;22;0;"2922";"2923";NA;6.9;NA;NA;"ERCAC";"5";22;0;11;7;11;7;11;7;11;7;11;7;6.9;14;63.6363636363636;8;36.3636363636364;0;0;12;54.5454545454545;10;45.4545454545455;100;0;FALSE;0.04;0.1;0;0;0.02;0.08;0.04;0.1;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"1008";0;2;0;"2924";NA;NA;6.9;NA;NA;"ERCAC";"5";2;0;1;1;1;1;1;1;1;1;1;1;6.9;2;100;0;0;0;0;2;100;0;0;100;0;FALSE;0.01;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"101";0;4;0;"333";NA;NA;14.9;NA;NA;"ER66";"3";4;0;2;1;2;1;2;1;2;1;2;1;14.8;2;50;2;50;0;0;2;50;2;50;100;0;FALSE;0.15;0;0;0;0.04;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"102";4;0;0;"334";NA;NA;19.3;"3011Z";"66";"ER66";"17";4;0;2;1;2;1;2;1;0;0;0;0;16.3;2;50;2;50;0;0;2;50;2;50;100;0;FALSE;0.04;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"103";4;0;0;"335";NA;NA;19.9;"1071B";"66";"ER66";"3";4;0;2;1;0;0;0;0;0;0;0;0;8.4;2;50;2;50;0;0;2;50;2;50;100;0;FALSE;0.01;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"104";6;0;2;"336";"60";NA;7;"7010Z";"66";"ER66";"3";8;0;2;2;1;1;0;0;0;0;1;1;0.3;8;100;0;0;0;0;0;0;8;100;100;0;FALSE;0.03;0;0.2;0.1;0.02;0.1;0.03;0;0.2;0.1;0.02;0.1;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"105";0;2;0;"337";NA;NA;18.2;NA;"66";"ER66";"17";2;0;1;1;1;1;1;1;1;1;1;1;18.1;2;100;0;0;0;0;2;100;0;0;100;0;FALSE;0.01;0;0;0;0.02;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"106";0;42;0;"750";"751";"340";5.8;"3103Z";NA;"ERCAC";"27";42;0;19;14;19;14;21;15;25;17;25;17;43.5;29;69.0476190476191;13;30.952380952381;0;0;15;35.7142857142857;27;64.2857142857143;100;0;FALSE;0.025;0;0;0;0.03;0.15;0.025;0;0;0;0.03;0.15;0.025;0;0;0;0.03;0.15;FALSE;FALSE;FALSE
"107";0;2;0;"340";NA;NA;16.4;"7711A";NA;"ER66";"3";2;0;2;1;2;1;2;1;2;1;2;1;16.4;1;50;1;50;0;0;1;50;1;50;100;0;FALSE;0.025;0;0;0;0.03;0.16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"108";2;0;0;"341";NA;NA;20.5;"552F";"66";"ER66";"17";2;0;1;1;1;1;1;1;1;1;1;1;20.5;2;100;0;0;0;0;0;0;2;100;100;0;FALSE;0.01;0;0;0;0.2;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"109";16076;1474;2059;"641";"2799";"788";6.7;"8899B";"66";"ERCAC";"19";17294;11.805803457596;4204;2605;5139;3203;5364;3351;5611;3530;5638;3537;68;11787;60.1101535009434;1693;8.63379060635422;6129;31.2560558927023;12203;62.2316283339283;7406;37.7683716660717;100;0;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE
"11";0;4;0;"11";NA;NA;13.9;NA;"11";"ER11";"3";4;0;2;1;2;1;2;1;2;1;2;1;13.9;2;50;2;50;0;0;2;50;2;50;100;0;FALSE;0.025;0;0;0.04;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"110";34;0;0;"345";NA;NA;20.9;"9200Z";"66";"ER66";"17";34;0;17;9;15;8;15;8;14;7;14;7;20.2;18;52.9411764705882;10;29.4117647058824;6;17.6470588235294;22;64.7058823529412;12;35.2941176470588;100;0;FALSE;0.01;0;0;0;0.03;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
