"Lien_E";"Code_ape";"Departement";"Regroup1";"Regroup4";"Produit_max";"Nb_pers_2018";"Nb_fam_2018";"Base_2018";"Option_2018_p";"Actifs_2018_p";"Non_actifs_2018_p";"Portabilite_2018_p";"Asspri_2018_p";"Conjoint_2018_p";"Enfants_2018_p";"Femmes_2018_p";"Hommes_2018_p";"Respo_2018_p";"Non_respo_2018_p";"Index_2018";"Tps_adh_E_par_L_2018";"Tps_adh_P_par_L_2018";"Nb_pers_2019";"Nb_fam_2019";"Base_2019";"Option_2019_p";"Actifs_2019_p";"Non_actifs_2019_p";"Portabilite_2019_p";"Asspri_2019_p";"Conjoint_2019_p";"Enfants_2019_p";"Femmes_2019_p";"Hommes_2019_p";"Respo_2019_p";"Non_respo_2019_p";"Index_2019";"Tps_adh_E_par_L_2019";"Tps_adh_P_par_L_2019";"Nb_pers_2020";"Nb_fam_2020";"Base_2020";"Option_2020_p";"Actifs_2020_p";"Non_actifs_2020_p";"Portabilite_2020_p";"Asspri_2020_p";"Conjoint_2020_p";"Enfants_2020_p";"Femmes_2020_p";"Hommes_2020_p";"Respo_2020_p";"Non_respo_2020_p";"Index_2020";"Tps_adh_E_par_L_2020";"Tps_adh_P_par_L_2020";"Nego_2020";"Nb_pers_2021";"Nb_fam_2021";"Base_2021";"Option_2021_p";"Actifs_2021_p";"Non_actifs_2021_p";"Portabilite_2021_p";"Asspri_2021_p";"Conjoint_2021_p";"Enfants_2021_p";"Femmes_2021_p";"Hommes_2021_p";"Respo_2021_p";"Non_respo_2021_p";"Index_2021";"Tps_adh_E_par_L_2021";"Tps_adh_P_par_L_2021";"Nego_2021";"Nb_pers_2022";"Nb_fam_2022";"Base_2022";"Option_2022_p";"Actifs_2022_p";"Non_actifs_2022_p";"Portabilite_2022_p";"Asspri_2022_p";"Conjoint_2022_p";"Enfants_2022_p";"Femmes_2022_p";"Hommes_2022_p";"Respo_2022_p";"Non_respo_2022_p";"Index_2022";"Index_2023";"Tps_adh_E_par_L_2022";"Tps_adh_P_par_L_2022";"Nego_2022";"VIP"
"1";"2932Z";NA;"ERCAC";"1";"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;287;121;287;0;96.69;0;3.31;42.16;20.21;37.63;42.51;57.49;100;0;NA;0.06;1;1;FALSE;TRUE
"10";"8730A";"66";"ER66";"3";"10";22;11;22;0;100;0;0;50;22.73;27.27;59.09;40.91;0;100;0.041;9.9;8.2;17;8;17;0;100;0;0;47.06;17.65;35.29;58.82;41.18;0;100;0;11.1;9.9;9;5;9;0;100;0;0;55.56;22.22;22.22;66.67;33.33;0;100;0.035;11.9;10.7;FALSE;8;4;8;0;100;0;0;50;25;25;62.5;37.5;0;100;0.03;13.1;12.1;FALSE;7;3;7;0;100;0;0;42.86;28.57;28.57;57.14;42.86;0;100;0.035;0.05;14.5;13.8;FALSE;FALSE
"100";"4711D";"66";"ER66";"17";"332";13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0.025;24.1;8.9;13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0;25.1;9.9;13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0;26.1;10.9;FALSE;13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0;27.1;11.9;FALSE;11;5;11;0;100;0;0;45.45;9.09;45.45;54.55;45.45;100;0;0.02;0.25;28.1;13;FALSE;FALSE
"1000";"8899B";NA;"ER11";"5";"2800";13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;NA;0;3;13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;NA;1;4;13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;0;2;5;FALSE;13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;0;3;6;FALSE;11;7;11;0;0;100;0;63.64;36.36;0;63.64;36.36;100;0;0.02;0.08;4;7;TRUE;FALSE
"1001";NA;NA;"ER11";"2";"2805";9;6;9;0;0;100;0;55.56;33.33;11.11;55.56;44.44;100;0;0.04;3;2.7;9;6;9;0;0;100;0;66.67;22.22;11.11;66.67;33.33;100;0;0.02;4;3.3;7;6;7;0;0;100;0;85.71;14.29;0;57.14;42.86;100;0;0;5;4.2;FALSE;6;5;6;0;0;100;0;83.33;16.67;0;66.67;33.33;100;0;0.01;6;5.1;FALSE;6;5;6;0;0;100;0;83.33;16.67;0;66.67;33.33;100;0;0.02;0.08;7;6.1;FALSE;FALSE
"1002";NA;NA;"ER11";"5";"2828";4;2;4;0;100;0;0;50;0;50;75;25;100;0;NA;1.8;2.1;3;1;3;0;100;0;0;33.33;0;66.67;66.67;33.33;100;0;NA;2.8;2.8;1;1;1;0;100;0;0;100;0;0;100;0;100;0;NA;3.8;0.1;FALSE;3;2;3;0;50;0;50;66.67;0;33.33;33.33;66.67;100;0;NA;0.7;0.6;FALSE;4;3;4;0;33.33;0;66.67;75;0;25;50;50;100;0;NA;0.25;1.7;1.5;FALSE;FALSE
"1003";"742C";"19";"ERCAC";"125";"2883";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;56;92;0;92.73;0;7.27;59.78;6.52;33.7;40.22;59.78;100;0;NA;-2;0.9;90;56;90;0;92.59;0;7.41;60;4.44;35.56;43.33;56.67;100;0;0;-1;1.6;FALSE;89;59;89;0;91.23;0;8.77;64.04;4.49;31.46;42.7;57.3;100;0;0.04;0;2.5;FALSE;89;57;89;0;98.18;0;1.82;61.8;3.37;34.83;42.7;57.3;100;0;0.015;0.015;1;3;FALSE;FALSE
"1004";"4511Z";"12";"ERCAC";"126";"2887";540;333;540;0;84.36;10.74;4.91;60.37;14.26;25.37;37.04;62.96;100;0;0.04;4;2.9;556;348;556;0;86.51;9.38;4.11;61.33;13.67;25;37.77;62.23;100;0;0.02;5;3.4;599;384;599;0;86.77;8.99;4.23;63.11;13.52;23.37;37.23;62.77;100;0;0.01;6;3.8;TRUE;612;385;612;0;87.93;8.4;3.67;62.25;14.22;23.53;36.6;63.4;100;0;0;7;4.2;FALSE;582;370;582;0;89.53;7.99;2.48;62.37;14.09;23.54;37.63;62.37;100;0;0.03;0.14;8;4.9;FALSE;TRUE
"1005";"7010Z";NA;"ER11";"127";"2897";3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;1.2;1.7;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;2.2;2.7;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;3.3;3.7;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;4.3;4.7;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;NA;5.3;5.7;FALSE;FALSE
"1006";"6420Z";NA;"ER11";"128";"2906";8;4;8;0;0;100;0;50;25;25;50;50;100;0;NA;3.8;3.3;8;4;8;0;0;100;0;50;25;25;50;50;100;0;NA;4.8;4.3;8;4;8;0;0;100;0;50;25;25;50;50;100;0;NA;5.8;5.3;FALSE;4;3;4;0;0;100;0;75;25;0;50;50;100;0;NA;6.8;6.2;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;66.67;33.33;100;0;NA;NA;7.8;7.1;FALSE;FALSE
"1007";NA;NA;"ERCAC";"5";"2922";11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0.04;3;2.9;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0.1;4;3.9;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0;5;4.9;FALSE;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0;6;5.9;FALSE;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0.02;0.08;7;6.9;FALSE;FALSE
"1008";NA;NA;"ERCAC";"5";"2924";1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;3;3;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;4;4;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;5;5;FALSE;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;6;6;FALSE;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;NA;7;7;FALSE;FALSE
