"Lien_E";"Code_ape";"Departement";"Regroup1";"Regroup4";"Produit_max";"Nb_pers_2018";"Nb_fam_2018";"Base_2018";"Option_2018";"Actifs_2018";"Non_actifs_2018";"Portabilite_2018";"Asspri_2018";"Conjoint_2018";"Enfants_2018";"Femmes_2018";"Hommes_2018";"Respo_2018";"Non_respo_2018";"Index_2018";"Tps_adh_E_par_L_2018";"Tps_adh_P_par_L_2018";"Nb_pers_2019";"Nb_fam_2019";"Base_2019";"Option_2019";"Actifs_2019";"Non_actifs_2019";"Portabilite_2019";"Asspri_2019";"Conjoint_2019";"Enfants_2019";"Femmes_2019";"Hommes_2019";"Respo_2019";"Non_respo_2019";"Index_2019";"Tps_adh_E_par_L_2019";"Tps_adh_P_par_L_2019";"Nb_pers_2020";"Nb_fam_2020";"Base_2020";"Option_2020";"Actifs_2020";"Non_actifs_2020";"Portabilite_2020";"Asspri_2020";"Conjoint_2020";"Enfants_2020";"Femmes_2020";"Hommes_2020";"Respo_2020";"Non_respo_2020";"Index_2020";"Tps_adh_E_par_L_2020";"Tps_adh_P_par_L_2020";"Nego_2020";"Nb_pers_2021";"Nb_fam_2021";"Base_2021";"Option_2021";"Actifs_2021";"Non_actifs_2021";"Portabilite_2021";"Asspri_2021";"Conjoint_2021";"Enfants_2021";"Femmes_2021";"Hommes_2021";"Respo_2021";"Non_respo_2021";"Index_2021";"Tps_adh_E_par_L_2021";"Tps_adh_P_par_L_2021";"Nego_2021";"Nb_pers_2022";"Nb_fam_2022";"Base_2022";"Option_2022";"Actifs_2022";"Non_actifs_2022";"Portabilite_2022";"Asspri_2022";"Conjoint_2022";"Enfants_2022";"Femmes_2022";"Hommes_2022";"Respo_2022";"Non_respo_2022";"Index_2022";"Index_2023";"Tps_adh_E_par_L_2022";"Tps_adh_P_par_L_2022";"Nego_2022";"VIP"
"1";"2932Z";NA;"ERCAC";"1";"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;287;121;287;0;117;0;4;121;58;108;122;165;287;0;NA;0.06;1;1;FALSE;TRUE
"10";"8730A";"66";"ER66";"3";"10";22;11;22;0;11;0;0;11;5;6;13;9;0;22;0.041;9.9;8.2;17;8;17;0;8;0;0;8;3;6;10;7;0;17;0;11.1;9.9;9;5;9;0;5;0;0;5;2;2;6;3;0;9;0.035;11.9;10.7;FALSE;8;4;8;0;4;0;0;4;2;2;5;3;0;8;0.03;13.1;12.1;FALSE;7;3;7;0;3;0;0;3;2;2;4;3;0;7;0.035;0.05;14.5;13.8;FALSE;FALSE
"100";"4711D";"66";"ER66";"17";"332";13;6;13;0;6;0;0;6;1;6;7;6;13;0;0.025;24.1;8.9;13;6;13;0;6;0;0;6;1;6;7;6;13;0;0;25.1;9.9;13;6;13;0;6;0;0;6;1;6;7;6;13;0;0;26.1;10.9;FALSE;13;6;13;0;6;0;0;6;1;6;7;6;13;0;0;27.1;11.9;FALSE;11;5;11;0;5;0;0;5;1;5;6;5;11;0;0.02;0.25;28.1;13;FALSE;FALSE
"1000";"8899B";NA;"ER11";"5";"2800";13;8;13;0;0;8;0;8;5;0;8;5;13;0;NA;0;3;13;8;13;0;0;8;0;8;5;0;8;5;13;0;NA;1;4;13;8;13;0;0;8;0;8;5;0;8;5;13;0;0;2;5;FALSE;13;8;13;0;0;8;0;8;5;0;8;5;13;0;0;3;6;FALSE;11;7;11;0;0;7;0;7;4;0;7;4;11;0;0.02;0.08;4;7;TRUE;FALSE
"1001";NA;NA;"ER11";"2";"2805";9;6;9;0;0;5;0;5;3;1;5;4;9;0;0.04;3;2.7;9;6;9;0;0;6;0;6;2;1;6;3;9;0;0.02;4;3.3;7;6;7;0;0;6;0;6;1;0;4;3;7;0;0;5;4.2;FALSE;6;5;6;0;0;5;0;5;1;0;4;2;6;0;0.01;6;5.1;FALSE;6;5;6;0;0;5;0;5;1;0;4;2;6;0;0.02;0.08;7;6.1;FALSE;FALSE
"1002";NA;NA;"ER11";"5";"2828";4;2;4;0;2;0;0;2;0;2;3;1;4;0;NA;1.8;2.1;3;1;3;0;1;0;0;1;0;2;2;1;3;0;NA;2.8;2.8;1;1;1;0;1;0;0;1;0;0;1;0;1;0;NA;3.8;0.1;FALSE;3;2;3;0;1;0;1;2;0;1;1;2;3;0;NA;0.7;0.6;FALSE;4;3;4;0;1;0;2;3;0;1;2;2;4;0;NA;0.25;1.7;1.5;FALSE;FALSE
"1003";"742C";"19";"ERCAC";"125";"2883";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;56;92;0;51;0;4;55;6;31;37;55;92;0;NA;-2;0.9;90;56;90;0;50;0;4;54;4;32;39;51;90;0;0;-1;1.6;FALSE;89;59;89;0;52;0;5;57;4;28;38;51;89;0;0.04;0;2.5;FALSE;89;57;89;0;54;0;1;55;3;31;38;51;89;0;0.015;0.015;1;3;FALSE;FALSE
"1004";"4511Z";"12";"ERCAC";"126";"2887";540;333;540;0;275;35;16;326;77;137;200;340;540;0;0.04;4;2.9;556;348;556;0;295;32;14;341;76;139;210;346;556;0;0.02;5;3.4;599;384;599;0;328;34;16;378;81;140;223;376;599;0;0.01;6;3.8;TRUE;612;385;612;0;335;32;14;381;87;144;224;388;612;0;0;7;4.2;FALSE;582;370;582;0;325;29;9;363;82;137;219;363;582;0;0.03;0.14;8;4.9;FALSE;TRUE
"1005";"7010Z";NA;"ER11";"127";"2897";3;2;3;0;0;2;0;2;1;0;1;2;3;0;NA;1.2;1.7;3;2;3;0;0;2;0;2;1;0;1;2;3;0;NA;2.2;2.7;3;2;3;0;0;2;0;2;1;0;1;2;3;0;NA;3.3;3.7;FALSE;3;2;3;0;0;2;0;2;1;0;1;2;3;0;NA;4.3;4.7;FALSE;3;2;3;0;0;2;0;2;1;0;1;2;3;0;NA;NA;5.3;5.7;FALSE;FALSE
"1006";"6420Z";NA;"ER11";"128";"2906";8;4;8;0;0;4;0;4;2;2;4;4;8;0;NA;3.8;3.3;8;4;8;0;0;4;0;4;2;2;4;4;8;0;NA;4.8;4.3;8;4;8;0;0;4;0;4;2;2;4;4;8;0;NA;5.8;5.3;FALSE;4;3;4;0;0;3;0;3;1;0;2;2;4;0;NA;6.8;6.2;FALSE;3;2;3;0;0;2;0;2;1;0;2;1;3;0;NA;NA;7.8;7.1;FALSE;FALSE
