"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Mnt_dep_2018";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Mnt_dep_2019";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Mnt_dep_2020";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Mnt_dep_2021";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Mnt_dep_2022";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"1";1777104;0;444276;"1_ERCAC";"1";"2_Affaires_directes";"3_Sante";2221380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91632.58;46113.215585524;49557.99;21156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517;19884;3;662;90
"10";74229750;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";74229750;0;42200.75;16978.3594825314;19063.19;11417;25975.79;10915.7053967823;12011.51;6312;8231.35;3445.03109946285;4686.47;5880;7700.35;3511.65637048712;3763.19;3341;4033.15;2070.99529606429;2238.58;1328;482;26799;0;924;73;482;26799;0;924;73;482;26799;0;924;73;482;26799;0;924;73;482;26799;0;924;73
"100";12587670;0;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";12587670;0;10826.26;3435.19857120041;5696.88;5785;5016.32;2186.92428875962;2617.66;3017;6695.65;2897.40579422151;3503.59;1334;8623.43;3692.85654607705;4045.3;1566;7034.62;4349.0322579169;3535.58;460;1020;8825;0;2285;32;1020;8825;0;2285;32;1020;8825;0;2285;32;1020;8825;0;2285;32;1020;8825;0;2285;32
"1000";0;13206480;0;"1_ER11";"5";"2_Affaires_directes";"3_Sante";13206480;0;0;0;0;0;20727.1;9194.93625521619;6393.77;3605;13380.28;5730.24193203301;5314.72;3756;13923.83;6769.60355583468;6027.35;4600;13034.51;8094.08936924147;5379.04;1515;0;0;0;0;0;74;13224;0;139;39;74;13224;0;139;39;74;13224;0;139;39;74;13224;0;139;39
"1001";0;14937110;0;"1_ER11";"2";"2_Affaires_directes";"3_Sante";14937110;0;7841.65;3564.41295415576;3315.93;2651;7411.72;3263.39194074229;3506.48;3258;8150.88;3738.71833975132;3850.69;2709;5007.99;2508.18230346976;2268.76;1648;2279.61;899.659257149385;1548.86;637;40;10680;0;165;18;40;10680;0;165;18;40;10680;0;165;18;40;10680;0;165;18;40;10680;0;165;18
"1002";1213890;0;282300;"1_ER11";"5";"2_Affaires_directes";"3_Sante";1496190;0;488.56;150.246843497957;313.28;73;3059.64;1780.97435061553;1021.08;739;2377.13;905.715235598809;1470.52;792;3224.63;1244.4830897788;1992.69;673;1976.28;1385.01357661022;808.3;546;7;2592;0;215;9;7;2592;0;215;9;7;2592;0;215;9;7;2592;0;215;9;7;2592;0;215;9
"1003";153691980;0;7821012;"1_ERCAC";"125";"2_Affaires_directes";"3_Sante";161512992;0;0;0;0;0;60235.93;26613.0568779241;21742.22;13522;56552.72;26513.0856589176;22934.91;12713;55647.51;27865.5220317246;23937.93;13524;28039.62;15884.689168206;13074.83;5712;0;0;0;0;0;1709;41738;6;1824;194;1709;41738;6;1824;194;1709;41738;6;1824;194;1709;41738;6;1824;194
"1004";12739445495;2362099810;531609470;"1_ERCAC";"126";"2_Affaires_directes";"3_Sante";15633154775;0;462616.19;198468.597332757;223480.76;120670;465442.84;213460.540372436;198125.11;130827;430875.36;189356.782297971;192752.64;102610;544221.41;249020.220579034;251110.53;132964;282449.44;151725.025260171;142503.63;60980;13929;517648;26;14789;1659;13929;517648;26;14789;1659;13929;517648;26;14789;1659;13929;517648;26;14789;1659;13929;517648;26;14789;1659
"1005";0;3099600;0;"1_ER11";"127";"2_Affaires_directes";"3_Sante";3099600;0;7505.71;2560.11882164358;2731.07;1319;17133.24;6777.83976142233;3942.22;1128;3417.05;1954.79526332521;1411.06;854;4003.26;1621.18129488143;2141.56;911;5613.54;1239.61534428816;4606.66;1528;66;5639;0;26;9;66;5639;0;26;9;66;5639;0;26;9;66;5639;0;26;9;66;5639;0;26;9
"1006";0;13894980;0;"1_ER11";"128";"2_Affaires_directes";"3_Sante";13894980;0;12276.64;5535.73292846918;5748.94;4100;11302.6;5078.22170693771;5755.45;2826;16567.71;6592.4099826185;7291.89;3434;5500.11;2120.56487998275;3010.8;1378;2240.73;973.82343593923;1449.74;780;450;11414;0;616;38;450;11414;0;616;38;450;11414;0;616;38;450;11414;0;616;38;450;11414;0;616;38
