"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"1";1776432;0;444108;"1_ERCAC";"1";"2_Affaires_directes";"3_Sante";2220540;0;0;0;0;0;0;0;0;0;0;0;0;0;46113.215585524;49557.99;21148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517;19878;3;660;90
"10";14817075;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";14817075;0;16978.3594825314;19063.19;11402;10915.7053967823;12011.51;6301;3445.03109946285;4686.47;5868;3511.65637048712;3763.19;3330;2070.99529606429;2238.58;1322;775;55350;0;710;175;1575;26060;0;3785;85;20;29235;0;50;35;40;16500;0;60;50;0;6575;0;15;20
"100";2514636;0;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";2514636;0;3435.19857120041;5696.88;5782;2186.92428875962;2617.66;3013;2897.40579422151;3503.59;1332;3692.85654607705;4045.3;1563;4349.0322579169;3535.58;458;380;18835;0;9650;45;515;14440;0;55;55;1125;3880;0;1630;25;2135;5590;0;60;30;945;1310;0;30;5
"1000";0;3297210;0;"1_ER11";"5";"2_Affaires_directes";"3_Sante";3297210;0;0;0;0;9194.93625521619;6393.77;3600;5730.24193203301;5314.72;3753;6769.60355583468;6027.35;4593;8094.08936924147;5379.04;1512;0;0;0;0;0;88;13904;0;336;72;52;14868;0;84;8;92;18192;0;28;60;64;5860;0;108;16
"1001";0;2978106;0;"1_ER11";"2";"2_Affaires_directes";"3_Sante";2978106;0;3564.41295415576;3315.93;2642;3263.39194074229;3506.48;3246;3738.71833975132;3850.69;2707;2508.18230346976;2268.76;1642;899.659257149385;1548.86;632;50;13130;0;0;30;45;16075;0;95;15;50;13410;0;60;15;30;7495;0;655;30;25;3120;0;15;0
"1002";242176;0;56320;"1_ER11";"5";"2_Affaires_directes";"3_Sante";298496;0;150.246843497957;313.28;73;1780.97435061553;1021.08;737;905.715235598809;1470.52;789;1244.4830897788;1992.69;672;1385.01357661022;808.3;545;15;350;0;0;0;5;3525;0;140;15;0;3055;0;890;0;15;3320;0;25;0;0;2675;0;20;30
"1003";38346100;0;1951340;"1_ERCAC";"125";"2_Affaires_directes";"3_Sante";40297440;0;0;0;0;26613.0568779241;21742.22;13500;26513.0856589176;22934.91;12686;27865.5220317246;23937.93;13497;15884.689168206;13074.83;5697;0;0;0;0;0;1628;49060;4;3052;256;1904;46336;16;2312;176;2696;49244;0;1832;216;608;21948;4;100;128
"1004";2544899792;471865696;106197152;"1_ERCAC";"126";"2_Affaires_directes";"3_Sante";3122962640;0;198468.597332757;223480.76;120535;213460.540372436;198125.11;130690;189356.782297971;192752.64;102480;249020.220579034;251110.53;132810;151725.025260171;142503.63;60893;12975;577385;35;10620;1660;16610;629305;25;5715;1795;16845;471135;15;22835;1570;15595;613645;40;32450;2320;7620;293600;15;2280;950
"1005";0;618840;0;"1_ER11";"127";"2_Affaires_directes";"3_Sante";618840;0;2560.11882164358;2731.07;1316;6777.83976142233;3942.22;1125;1954.79526332521;1411.06;854;1621.18129488143;2141.56;910;1239.61534428816;4606.66;1525;65;6500;0;0;15;140;5480;0;5;0;0;4155;0;85;30;110;4440;0;0;0;15;7570;0;40;0
"1006";0;2773002;0;"1_ER11";"128";"2_Affaires_directes";"3_Sante";2773002;0;5535.73292846918;5748.94;4092;5078.22170693771;5755.45;2815;6592.4099826185;7291.89;3428;2120.56487998275;3010.8;1378;973.82343593923;1449.74;778;515;19865;0;15;65;1300;11425;0;1320;30;385;16570;0;105;80;30;5205;0;1640;15;20;3870;0;0;0
