"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"1";1776432;0;444108;"1";"1_ERCAC";"20220101";"20501231";2220540;0;0;0;0;0;0;0;0;0;0;0;0;0;46113.215585524;49557.99;21148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7687.54064547018;18643.1804921558;492.458026492992;7644.15509333615;11645.8813280689
"10";14817075;0;0;"10";"1_ER11";"20080701";"20501231";14817075;0;16978.3594825314;19063.19;11402;10915.7053967823;12011.51;6301;3445.03109946285;4686.47;5868;3511.65637048712;3763.19;3330;2070.99529606429;2238.58;1322;22257.8605123684;32602.7750647863;0;13925.5400927006;16105.6217428016;17588.4846691632;23522.1038333007;0;6159.40577873552;7308.53270271187;129.000424913057;13076.8048694106;0;1433.21810779265;2586.13209519797;2454.34901665467;9854.79916048799;0;405.60296491587;4843.53071037705;0;5557.88128699991;0;2105.25806325754;2691.83713006401
"100";2514636;0;0;"332";"1_ER66";"19941201";"20501231";2514636;0;3435.19857120041;5696.88;5782;2186.92428875962;2617.66;3013;2897.40579422151;3503.59;1332;3692.85654607705;4045.3;1563;4349.0322579169;3535.58;458;3358.84067908426;6016.73758412606;0;4800.12214556616;3000.29244722558;1941.52501308917;5460.51065778908;0;950.752263687851;2581.83350923198;5303.9294822154;6860.49725926828;0;887.005135393584;1435.59709423028;8922.38146266726;6944.48759070562;0;419.266311720258;2178.14736529211;10907.0219280201;8792.59183401913;0;1464.63172804347;580.915799501796
"1000";0;3297210;0;"2800";"1_ER11";"20190101";"20501231";3297210;0;0;0;0;9194.93625521619;6393.77;3600;5730.24193203301;5314.72;3753;6769.60355583468;6027.35;4593;8094.08936924147;5379.04;1512;0;0;0;0;0;7636.47002164288;14052.4731254771;0;7016.5458473271;8074.2560264177;2549.65233951081;17356.1190203924;0;1732.25240170824;1282.94396652059;5859.44897426993;13672.4858121959;0;822.274950321621;6724.20448655129;4080.90117394213;23376.7855344117;0;3545.69779074954;1372.97297786246
"1001";0;2978106;0;"2805";"1_ER11";"20170701";"20501231";2978106;0;3564.41295415576;3315.93;2642;3263.39194074229;3506.48;3246;3738.71833975132;3850.69;2707;2508.18230346976;2268.76;1642;899.659257149385;1548.86;632;5096.18592882081;8314.87884195799;0;0;4411;660.855949912312;10778.7947694881;0;2426.61273169841;2450.69625261259;5691.86527883124;8086.32242134322;0;2609.91667541902;2305.4873231631;495.000107295131;6706.82377246826;0;678.662396239197;4660.42524134623;281.25509038081;3650.71446489917;0;566.326730466941;0
"1002";242176;0;56320;"2828";"1_ER11";"20170401";"20501231";298496;0;150.246843497957;313.28;73;1780.97435061553;1021.08;737;905.715235598809;1470.52;789;1244.4830897788;1992.69;672;1385.01357661022;808.3;545;115.716918072;635.517299417787;0;0;0;34.5212056506545;2630.14271868255;0;5047.42512741509;1192.78270132935;0;4185.77773500346;0;342.798442990586;0;96.9066137917037;5981.05552987652;0;144.453305225788;0;0;1681.49793146032;0;1834.4061486864;3409.16380290436
"1003";38346100;0;1951340;"2883";"1_ERCAC";"20190101";"20501231";40297440;0;0;0;0;26613.0568779241;21742.22;13500;26513.0856589176;22934.91;12686;27865.5220317246;23937.93;13497;15884.689168206;13074.83;5697;0;0;0;0;0;19249.4122320151;50616.582174063;400.245862616284;10129.9651202913;26056.0221227105;19485.3216478694;57996.2707711479;1602.94591819676;9232.81420320652;17734.9900952498;18293.4459748861;63351.9799229567;0;7423.47728651487;22393.1849425407;8129.30011813572;32926.0391261374;492.458026492992;6092.7891953766;15898.1702066812
"1004";2544899792;471865696;106197152;"2887";"1_ERCAC";"20150101";"20501231";3122962640;0;198468.597332757;223480.76;120535;213460.540372436;198125.11;130690;189356.782297971;192752.64;102480;249020.220579034;251110.53;132810;151725.025260171;142503.63;60893;191645.437564147;463283.845280971;11921.1492684222;134529.369561906;190963.184988338;277474.693280602;482984.246260517;7432.62732537767;94208.5853398656;205202.549655815;237073.820322566;399566.56077082;4809.55985858555;133203.57383432;172130.396703561;316125.607395212;515199.487081942;13188.4491400897;137501.787058493;263085.772219433;183798.570296647;319822.802527155;6752.58445927191;109627.743323444;138623.425694339
"1005";0;618840;0;"2897";"1_ER11";"20171001";"20501231";618840;0;2560.11882164358;2731.07;1316;6777.83976142233;3942.22;1125;1954.79526332521;1411.06;854;1621.18129488143;2141.56;910;1239.61534428816;4606.66;1525;1535.17444593445;10208.4196622835;0;0;1057;28917.5919323688;4471.46478237294;0;500.142092369916;0;0;4390.45532408469;0;1940.00671038257;3443.51428215881;4726.02913553694;3379.8773388702;0;0;0;160.295087623469;3452.37699472912;0;2585.40463908821;0
"1006";0;2773002;0;"2906";"1_ER11";"20150301";"20501231";2773002;0;5535.73292846918;5748.94;4092;5078.22170693771;5755.45;2815;6592.4099826185;7291.89;3428;2120.56487998275;3010.8;1378;973.82343593923;1449.74;778;2404.10122944274;18234.7431884984;0;440;6599.8202244048;8299.55978658225;13779.2542521176;0;975.977322889138;2336.31717309963;2068.82075741167;19243.7200986976;0;4703.63721372888;6945.87184325434;207.68107052892;6685.50192693377;0;2198.58779104088;1511.0536114102;214.957928564191;4654.15925113196;0;0;0
"1007";0;4450155;0;"2922";"1_ERCAC";"20160101";"20501231";4450155;0;9011.67822661643;7873.05;2985;5438.94561113957;4831.63;2258;6525.09726945467;4724.06;2970;5517.74382723235;4560.41;2582;3945.48752810722;4999.3;2104;20686.4350652619;15417.0151173827;0;1904.2536994574;7050.68725098011;5682.07507969422;14451.129796349;0;2599.00536048409;4462.51781917058;9836.77183368743;18159.1254930664;0;25.4279513722986;4604.16106914718;490.495329769173;20265.6796371638;0;156.440981075278;6676.10318815348;133.579239686224;13226.9301335753;0;3535.84863021968;2831.0796370549
"1008";0;339112;0;"2924";"1_ERCAC";"20160101";"20501231";339112;0;872.622273181494;893.24;912;448.720404275399;691.36;490;575.187727027355;746.22;432;3926.7667317555;1158.76;710;1962.42061267325;4831.11;952;65.1;2647.77009694637;0;0;1650.2412689611;150.692567275031;2092.90945410197;0;0;0;0;2755.80658140938;0;120.132053727395;0;0;1292.50036216426;0;18341.3332966132;0;0;1317.20210636213;0;8494.90095700411;0
"101";0;399907;0;"333";"1_ER66";"20080101";"20501231";399907;0;863.359641687185;2408.01;1004;1476.78616592362;3151.8;887;1892.45126975313;1793.34;479;1341.24816862726;1296.86;701;585.766511062752;1202.51;468;791.9;3475.49820843592;0;49.4;0;2011.90158457228;3346.48499581046;0;0;2025.54424923536;4343.59098843012;2512.85461404462;0;0;2605.81074629089;3769.84934376473;2883.48875214804;0;52.9027472235241;0;92.335879967436;2836.49667534632;0;0;0
"102";14820;0;0;"334";"1_ER66";"20030901";"20501231";14820;0;345.167844896826;372;79;549.267381023412;661.61;491;0;0;0;0;0;0;0;0;0;17.36;364.915689793652;0;0;308.06;17.3649334470835;439.267461568495;0;641.902367031245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";54;0;0;"335";"1_ER66";"20030101";"20501231";54;0;79.91;179.76;9;0;0;0;0;0;0;0;0;0;0;0;0;21.96;57.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";2394;0;0;"336";"1_ER66";"20031101";"20501231";2394;0;262.260761825023;113.41;396;34.9214515132708;81.45;3;0;0;0;0;0;0;0;0;0;0;124.521523650045;0;0;400;0;24.014751756977;0;45.8281512695645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";0;127516;0;"337";"1_ER66";"20041001";"20501231";127516;0;392.6685867163;781.38;237;282.136279567035;634.94;231;230.004539500096;411.97;186;1792.21817491229;1375.81;412;243.520494100785;1726.76;730;0;1963.3429335815;0;0;0;0;1295.79875921781;0;114.88263861737;0;0;1150.02269750048;0;0;0;0;8961.09087456146;0;0;0;442.288865044019;775.313605459904;0;0;0
"106";0;4232840;0;"750";"1_ERCAC";"20180101";"20501231";4232840;0;2202.98333211132;1296.01;617;1997.54609769959;2696.16;1613;5505.68023227922;2780.21;2380;6886.01698778846;5980.33;3756;7366.59343815403;4805.17;1958;674.448605893285;5292.63004946718;0;0;5047.83800519611;118.383633263959;7166.97910174087;0;0;2702.36775349313;5036.94840293373;7029.22397416952;0;6497.54149676439;8964.68728752844;2981.98028609733;13869.369839043;0;10214.2922937804;7364.44252002161;11358.2365947943;9994.18941866203;0;9572.15288995753;5908.3882873563
"107";35520;751840;0;"340";"1_ER66";"20060701";"20501231";787360;0;2320.15575838882;1717.58;656;273.548837918902;688.7;343;485.2425911039;713.05;739;2896.42231061815;3325.67;2316;1072.91830232028;5123.81;1866;0;6214.47319306896;0;1944.55;3441.75559887516;43.4123336177087;1324.3318559768;0;0;0;0;2215.98186149656;0;210.231094022941;0;418.637073028821;8485.87209808913;0;2364.03759777203;3213.56478420078;227.82339450632;1197.10390515115;0;3939.66421194394;0
"108";293040;0;0;"341";"1_ER66";"20020601";"20501231";293040;0;457.374918198734;771.98;476;544.642826633785;887.57;506;2175.46787753399;876.55;660;1792.32124858087;3026.68;864;535.572726712454;621.31;134;77.9050447146413;2208.96954627903;0;0;0;277.140134659301;2446.07399850963;0;0;0;106.567142660677;1988.15436285463;0;8782.61788215466;0;1062.8196809969;4874.87169454262;0;2016.69694379769;1007.21792356711;0;2677.86363356227;0;0;0
"109";149201094110;29249170550;12035992330;"641";"1_ERCAC";"20160101";"20501231";169231675940;21254581050;1497481.79470532;1603871.51;923485;1939255.19365448;2149046.58;1419230;1794478.34217755;1917500.58;1166229;2299011.79066819;2387357.86;1304596;1504377.63370675;1581813.39;699970;1455265.55448464;3648484.90968092;0;768062.652858259;1615595.8565028;1597123.51303285;4594046.96998318;0;1405913.24239264;2099192.24286375;1801534.31894199;4450342.52578753;0;1228230.84060975;1492284.02554849;2438770.60145673;5118558.20143925;0;1744973.73017659;2192756.42026836;1684769.94570285;3354774.21461109;0;1257879.38134572;1224464.62687409
"11";0;419688;0;"11";"1_ER11";"20090101";"20501231";419688;0;1050.91547255414;1505.1;726;1275.10409233438;2071.66;891;789.674779951999;1238.84;712;1030.56760202592;2228.41;282;1754.9972919144;2453.72;521;1106.20898544101;2409.68441954924;0;138.45;1600.23395778046;2155.11227602197;4220.40818564991;0;0;0;642.655533652532;2183.12735667269;0;120.309834002119;1002.28117543265;3107.64936183957;1800.62937058226;0;244.55927770777;0;3368.96691649187;5305.68122018219;0;100.338322897947;0
"110";4163796;0;0;"345";"1_ER66";"20020101";"20501231";4163796;0;5784.36152143522;6100.84;3462;6289.37366210604;6382.56;3811;9376.01593925333;6813.99;2448;6572.34343137235;5929.36;4252;12533.6846582304;6271.36;2550;5575.50696140836;13960.4144956075;0;1810.41749183727;7575.46865832293;5633.27187256559;14603.6307349898;0;7633.94974252993;3576.0159604449;9785.36168125475;12699.7378524341;0;18933.4184270788;5461.56173549892;3055.30491055746;22522.3795580357;0;1837.66304171374;5446.36964655481;35133.3714268362;20038.6711132797;0;3072.13784102322;4424.24291001304
"111";326655;146034;0;"346";"1_ER66";"20030301";"20501231";472689;0;505.91582624737;719.64;523;745.341266960967;826.22;645;661.142795184143;1205.1;632;1227.14678454049;1581.96;1080;1842.39628016624;3348.85;963;34.5;2495.07913123685;0;0;0;34.5098043735242;2481.45279601705;0;210.129077873549;1000.61465654071;34.537965446626;3271.17601047409;0;0;0;153.745982247799;3810.59098967945;0;400.685880471916;1770.7110703033;255.339486736616;5494.16952982238;0;3462.47238427223;0
"112";0;0;0;"347";"1_ER66";"20030301";"20501231";0;0;14.152069064121;0;0;201.223607430337;0;0;68.0953660451991;0;0;246.608281373055;0;0;55.2784134738384;0;0;0;70.7603453206049;0;0;0;0;80.5494798515272;0;0;925.568557300157;0;340.476830225996;0;0;0;0;290.622040248479;0;0;942.419366616795;0;276.392067369192;0;0;0
"113";82080;10080;0;"348";"1_ER66";"20040101";"20501231";92160;0;741.465732431379;940.73;611;996.87179889032;926.82;431;204.786686870696;295.84;169;42.6720883572038;64.5;118;240.504188688515;240.31;111;267.613745019602;2316.06491713729;0;0;1123.65;0;2599.33494608002;0;0;2385.02404837158;0;1023.93343435348;0;0;0;0;213.360441786019;0;0;0;0;808.554522248181;0;393.966421194394;0
